route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
9,000011,88____:049::8895802:8895505:10:1919:20220327,Grammont,11013,,104,,1
1,000016,88____:049::8896305:8896735:5:1741:20220227,Poperinge,11014,,105,,1
2,000021,88____:049::8892338:8892205:6:1524:20220220,Lichtervelde,11014,,106,,1
14,000018,88____:049::8895000:8895802:3:1543:20220306,Denderleeuw,11014,,107,,1
3,000003,88____:049::8892007:8895208:10:2135:20220313,Zottegem,11014,,108,,1
3,000014,88____:049::8892007:8895208:10:1835:20220320,Zottegem,11014,,109,,1
15,000019,88____:049::8892205:8896008:5:1645:20220410,Courtrai,11014,,110,,1
11,000006,88____:049::8896388:8896008:2:1646:20220408,Courtrai,11014,,111,,1
9,000011,88____:049::8895802:8895505:10:2019:20220327,Grammont,11014,,112,,1
1,000016,88____:049::8896305:8896735:5:1841:20220227,Poperinge,11015,,113,,1
2,000021,88____:049::8892338:8892205:6:1624:20220220,Lichtervelde,11015,,114,,1
14,000018,88____:049::8895000:8895802:3:1643:20220306,Denderleeuw,11015,,115,,1
3,000022,88____:049::8892007:8895208:10:2235:20220312,Zottegem,11015,,116,,1
16,000023,88____:049::8892007:8895505:12:2343:20220313,Grammont,11015,,117,,1
3,000014,88____:049::8892007:8895208:10:1935:20220320,Zottegem,11015,,118,,1
15,000019,88____:049::8892205:8896008:5:1745:20220410,Courtrai,11015,,119,,1
11,000006,88____:049::8896388:8896008:2:1746:20220408,Courtrai,11015,,120,,1
9,000011,88____:049::8895802:8895505:10:2119:20220327,Grammont,11015,,121,,1
1,000016,88____:049::8896305:8896735:5:1941:20220227,Poperinge,11016,,122,,1
2,000021,88____:049::8892338:8892205:6:1724:20220220,Lichtervelde,11016,,123,,1
14,000018,88____:049::8895000:8895802:3:1743:20220306,Denderleeuw,11016,,124,,1
16,000022,88____:049::8892007:8895505:12:2443:20220312,Grammont,11016,,125,,1
3,000014,88____:049::8892007:8895208:10:2035:20220320,Zottegem,11016,,126,,1
15,000019,88____:049::8892205:8896008:5:1845:20220410,Courtrai,11016,,127,,1
11,000006,88____:049::8896388:8896008:2:1846:20220408,Courtrai,11016,,128,,1
9,000011,88____:049::8895802:8895505:10:2219:20220327,Grammont,11016,,129,,1
1,000016,88____:049::8896305:8896735:5:2041:20220227,Poperinge,11017,,130,,1
2,000021,88____:049::8892338:8892205:6:1824:20220220,Lichtervelde,11017,,131,,1
14,000018,88____:049::8895000:8895802:3:1843:20220306,Denderleeuw,11017,,132,,1
3,000003,88____:049::8895208:8892007:10:732:20220313,Gand-Saint-Pierre,11017,,133,,1
3,000014,88____:049::8892007:8895208:10:2135:20220320,Zottegem,11017,,134,,1
15,000019,88____:049::8892205:8896008:5:1945:20220410,Courtrai,11017,,135,,1
11,000006,88____:049::8896388:8896008:2:1946:20220408,Courtrai,11017,,136,,1
9,000011,88____:049::8895505:8895802:10:759:20220327,Denderleeuw,11017,,137,,1
1,000016,88____:049::8896305:8896735:5:2141:20220227,Poperinge,11018,,138,,1
2,000021,88____:049::8892338:8892205:6:1924:20220220,Lichtervelde,11018,,139,,1
14,000018,88____:049::8895000:8895802:3:1943:20220306,Denderleeuw,11018,,140,,1
3,000003,88____:049::8895208:8892007:10:832:20220313,Gand-Saint-Pierre,11018,,141,,1
3,000024,88____:049::8892007:8895208:10:2235:20220319,Zottegem,11018,,142,,1
16,000025,88____:049::8892007:8895505:12:2343:20220320,Grammont,11018,,143,,1
15,000019,88____:049::8892205:8896008:5:2045:20220410,Courtrai,11018,,144,,1
11,000006,88____:049::8896388:8896008:2:2046:20220408,Courtrai,11018,,145,,1
9,000011,88____:049::8895505:8895802:10:859:20220327,Denderleeuw,11018,,146,,1
1,000016,88____:049::8896305:8896735:5:2241:20220227,Poperinge,11019,,147,,1
2,000021,88____:049::8892338:8892205:6:2024:20220220,Lichtervelde,11019,,148,,1
14,000018,88____:049::8895000:8895802:3:2043:20220306,Denderleeuw,11019,,149,,1
3,000003,88____:049::8895208:8892007:10:932:20220313,Gand-Saint-Pierre,11019,,150,,1
16,000024,88____:049::8892007:8895505:12:2443:20220319,Grammont,11019,,151,,1
15,000019,88____:049::8892205:8896008:5:2145:20220410,Courtrai,11019,,152,,1
11,000006,88____:049::8896388:8896008:2:2146:20220408,Courtrai,11019,,153,,1
9,000011,88____:049::8895505:8895802:10:959:20220327,Denderleeuw,11019,,154,,1
1,000016,88____:049::8896305:8896735:5:2341:20220227,Poperinge,11020,,155,,1
2,000021,88____:049::8892338:8892205:6:2124:20220220,Lichtervelde,11020,,156,,1
14,000018,88____:049::8895000:8895802:3:2143:20220306,Denderleeuw,11020,,157,,1
3,000003,88____:049::8895208:8892007:10:1032:20220313,Gand-Saint-Pierre,11020,,158,,1
3,000014,88____:049::8895208:8892007:10:732:20220320,Gand-Saint-Pierre,11020,,159,,1
15,000019,88____:049::8892205:8896008:5:2245:20220410,Courtrai,11020,,160,,1
11,000006,88____:049::8896388:8896008:2:2246:20220408,Courtrai,11020,,161,,1
9,000011,88____:049::8895505:8895802:10:1059:20220327,Denderleeuw,11020,,162,,1
1,000016,88____:049::8896305:8896735:5:2441:20220227,Poperinge,11021,,163,,1
2,000021,88____:049::8892338:8892205:6:2224:20220220,Lichtervelde,11021,,164,,1
14,000018,88____:049::8895000:8895802:3:2243:20220306,Denderleeuw,11021,,165,,1
3,000003,88____:049::8895208:8892007:10:1132:20220313,Gand-Saint-Pierre,11021,,166,,1
3,000014,88____:049::8895208:8892007:10:832:20220320,Gand-Saint-Pierre,11021,,167,,1
15,000019,88____:049::8892205:8896008:5:2345:20220410,Courtrai,11021,,168,,1
11,000006,88____:049::8896008:8896388:2:626:20220408,Bissegem,11021,,169,,1
